,Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Research Institute of Internship Supervisor,Name of Internship Supervisor,Workplace Address,What is the project's research category?,No. of Students Required
160,Integrated photonics device development with wafer-scale characterization and analysis,"The internship project is about the development of chip-based integrated photonics devices. Key responsibilities include setting up and maintaining optical and electronic measurement systems, conducting performance tests on photonic components at a wafer scale, analyzing experimental data, documenting results, and troubleshooting technical issues. This role provides hands-on experience in photonics, ideal for students or recent graduates in physics, electrical engineering, or related fields. ","Through this internship, the intern will gain hands-on experience with optical and electronic measurement systems, developing skills in experimental design and data analysis for photonic components. They will enhance their understanding of photonic devices, learn to troubleshoot and resolve technical issues in a lab environment, and build a strong foundation in photonics and its practical applications.","The intern will be responsible for assisting in the characterization of chip-based photonic devices. This includes setting up and maintaining optical and electronic measurement systems, conducting performance tests on photonic components, and analyzing experimental data. Additional responsibilities involve documenting results, troubleshooting technical issues, fabricating and packaging photonic devices, and aiding in the development of new measurement techniques. The intern will work closely with the research and development team to ensure accurate and reliable results.","A background in physics, electrical engineering, or a related field, along with familiarity with optical instrumentation and data analysis, is preferred.",IMRE,Victor Leong ,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Physical Sciences,Physics",1
161,Integrated quantum photonics with thin-film lithium niobate devices,"This project develops integrated photonics devices based on thin-film lithium niobate. Lithium niobate is an emerging, highly versatile material platform with attractive nonlinear optical properties for on-chip quantum photonics. The applications we are developing include photon pair generation, squeezed light, and fast switching. The student will be involved in device fabrication, building of opto-electronic chip testing setups, and thorough characterization of the devices. This work will advance our research efforts in developing integrated quantum nanophotonics platforms ","- In-depth knowledge of integrated photonics devices and nonlinear photonics
- Experimental techniques, including device fabrication, lasers and optical setups, chip testing, operation of probe stations
- Experience in instrumentation design, building, automation, and testing
- Able to plan and execute experiments, document and analyse data, and communicate results
- Related engineering skills, e.g. electronics, optics, programming, hardware assembly  ","- Participate in device fabrication and sample preparation
- Opto-electronic characterization of lithium niobate integrated photonics devices
- Development of setups and control hardware
- Upgrading and automation of test setup to enhance its performance
- Analysis of measurement data",Physics or engineering,IMRE,Victor Leong ,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Physical Sciences,Physics",1
162,Intelligent Robotic Manipulation System with Deep Learning,"This internship project is to develop and research the intelligent robotic systems in areas of mobile robot navigation and advanced robotic manipulation. The ability to navigate a mobile robot in its environment is important, which includes mapping, localization, awareness of environment, obstacle avoidance, etc. Similarly, intelligent robotic manipulation includes the perception of environment and execute action for achieving specific tasks. For those functions, artificial intelligence and deep learning can play an important role to replace the traditional human-designed feature engineering and embody the agent with self-learning ability to adapt with new environment. The students will evolve in our project to assist in the research phase (deep learning algorithm implementation) and experimental phase of the project.","During this internship, the students will have the opportunity to participate in and assist the research projects on intelligent robotics and will have hand-on trainings on multiple fields in robot related areas, e.g. Linux/Robot Operating System (ROS) programming, deep learning frameworks (TensorFlow, Pytorch, etc.), computer vision, mobile navigation, system design, etc.","1, Develop and implement deep learning algorithms for computer vision in navigation and manipulation, etc. 
2, Test and implement the algorithms in edge device for robot.
The student is supposed to have basic knowledge in C++ or Python programming. Familiar with deep learning framework such Pytorch/Tensorflow will be preferred.
",,SIMTech,Zhu Haiyue,"Singapore Institue of Manufacturing Technology, 2 Fusionopolis Way
#08-04, Innovis
Singapore 138634","Computing and Information Sciences,Computer Science",2
163,Interrogation and analysis of colorimetric-based point-of-care MedTech devices,"Point-of-care diagnostic MedTech devices requires ease of use and simple testing procedures to be considered as reliable indicators for health-monitoring. Sweat and saliva-based biosensors have been developed, using miniaturized holographic sensors (holosensors) and microfluidics to provide indicative prognostic value analytes present in the non-invasive bodily fluids. Colorimetric biosensors provide an easy qualitative visual for the user of the point-of-care device, and although smartphone colorimetric analysis has been introduced, it still lacks consistency and ease of use. ","In this project, further colorimetric analysis and optimization will be introduced to (i) establish a representative peak-wavelength to RGB mapping, as well as to (ii) optimize the use of various LEDs to provide semi-quantitative measures of gold-conjugated antibodies in the test and control line of a paper-based lateral flow assay. The scope of work will include process optimization, color analysis, sensor integration and device prototyping, and the use of gold-standard equipment such as UV-VIS spectrophotometer, gold-standard kits such as ELISA, and comparison runs of color-space transformed data with measured peak wavelength of the colorimetric holographic sensors.","The student should (i) embody safety as number 1 priority through safety briefings and training, (ii) learn and apply lab-work methods and techniques taught to them, eventually able to work independently with some guidance. To enable the student to experience a more representative research experience, he/she would be expected to keep detailed experimental notes, read, and summarize academic papers, draft presentation slides to share research ideas and outcomes, as well as possibly getting involved in another research project for added exposure.",The student should be inquisitive (show passion in learning new things) and demonstrate initiative to help and contribute to the overall project objectives.,SIMTech,Cong Zhi Chan,"Singapore Institue of Manufacturing Technology, 2 Fusionopolis Way
#08-04, Innovis
Singapore 138634","Computing and Information Sciences,Computer and Software Engineering",1
164,Investigating non-canonical nucleobases via nanopore sequencing and AI algorithms,"The Nanopore-based device for NGS is capable of sensing primary/canonical (ATGCU) bases and also non-canonical bases present in the input nucleic acid, generating valid eletrical signal readings. 
However, the convetional deep learning models for processing such signals were designed considering only the canonical bases, being unable to label other classes of nucleobases.

In this project we plan to explore AI tools capable of detecting, and potentially identifying, non-canonical nucleotides chained at the nucleic acid.
We aim at investigating nucleotides found in synthetically generated Xeno nucleic acids (XNA), as well as naturally occurring DNA from phages, since it has been discovered that some species of phages can incorporate such class of bases.","Understanding how Nanopore sequencing works;
Applying Machine Learning tools for classification and/or outlier detection;
Analyzing the outcome of these tools to assess their performance;","Help preparing train and test data;
Execute AI tools, making minor adaptations if necessary;
Collect, organize and interpret results;","Python programing skills; 
Linux familiarity; 
Scientific curiosity;",GIS,Mauricio Lisboa Perez,"Genome Institute of Singapore, 60 Biopolis Street, Genome, #02-01, Singapore 138672","Biomedical Sciences,Bioscience and Biotechnology,",1
165,Investigating the role of placental ABC transporters,"The placenta serves as the functional interface between mother and child. Placental ATP‐binding cassette (ABC) transporters regulate transfer of substances such as nutrients (eg. lipids and folate) and steroid hormones (eg. glucocorticoids and oestrogens) between mother and child. Some of these transporters show gestational-age dependent expression, suggesting they play a critical role in supporting a healthy pregnancy. Our lab is interested in investigating their role in regulating placental lipid metabolism, which is often dysregulated in pregnancy complications such as gestational diabetes.","The selected student(s) will gain an appreciation for the study of human potential in the areas of developmental/reproductive biology and intrauterine programming of long-term health, while learning practical laboratory skills in cell/tissue culture, molecular biology (eg. extraction of RNA and protein, qPCR, immunoblotting, ELISAs), safe handling of human tissue samples, as well as analytical skills in statistics.","'- Follow all lab safety rules
- Perform experiments and data processing/analysis as guided by mentor
- Regularly read the scientific literature and assist with literature reviews of scientific papers
- Attend and participate in lab meetings
- Have proof of Hepatitis B antibody titres to work with human tissue samples in the lab","- Undertaking biology subjects at the undergraduate level
- Experience with using a micropipette",IHDP,Hannah Yong,"Dry lab at Singapore Institute for Clinical Sciences, Brenner Centre for Molecular Medicine, 30 Medical Drive, Level 4, Singapore 117609  


Wet lab at MD11, Level 4 (Prof Chan's lab)","Biomedical Sciences,Life Sciences",2
166,Investigation of retinal stem cell transplants in humanized immune system,"There are no effective treatments for end-stage retinal degeneration, where there’s profound reduction in the quality of life because of loss of central vision, secondary to an irreversible loss of RPE and photoreceptors cells. Stem cell derived retinal cell replacement is an emerging therapy for retinal degeneration, whereby clinical trials have demonstrated its safety, but not efficacy. The lingering and critical question remains whether we can further augment vision recovery via other adjunct mechanisms such as immuno-modulation of retinal cells. The proposed work seeks to address this unmet clinical need, and if successful, will provide novel ways to augment the outcome of retinal cell therapy.","Systematic understanding of relevant knowledge within the scope of their research project. The ability to identify and describe broadly accepted methodologies of science, including the basic tenets of comparative (observational) and experimental approaches. The student eventually will learn to design the experiment, keeping records of the same and to summarize and interpret the data in a scientific and logical manner. Gain specialised expertise in stem cells, retinal cell biology, and immunology.","1. Stem cell maintenance and differentiation to retinal cell types
2. Molecular characterization of the retinal cells
3. Functional characterization of the retinal cells
4. Evaluating the retinal cell transplant outcome in humanized mice","Basic wet lab and molecular biology techniques - pipette handling, aseptic techniques for cell culture, Immunochemistry, western blot .",IMCB,Su Xinyi,"Institute of Molecular and Cell Biology, 61 Biopolis Drive , Proteos Building, #05-15, S(138673)","Biomedical Sciences,Life Sciences, Biochemistry, Physiology",1
167,Knowledge Editing in Large Language Models,"Most of you should heard about the ChatGPT, which is the most popular AI-associate toolkit. Its astonishing capability is powered by the large pretrained language models.  This project aims to pioneer the field of knowledge editing in large language models, a crucial but relatively nascent area in the development of artificial intelligence. The project's significance lies in its potential to enhance large models' capabilities in aspects such as incremental learning, learning to forget, and intellectual property (IP) protection, which are vital for the evolving landscape of AI technologies.
Knowledge editing in large language models involves modifying or updating the model's stored information without comprehensive retraining. This ability is increasingly important for large models, as it can provide flexibility in learning new information (incremental learning), removing outdated or unwanted data (learning to forget), and protecting sensitive or proprietary information (IP protection). Current research on this topic is in the preliminary stages, with some pilot work attempting to locate and edit specific knowledge within large models. However, these methods are not entirely satisfactory. They often come with significant additional costs, such as negatively impacting the storage and expression of other knowledge within the model. There's a notable challenge in pinpointing and manipulating specific pieces of information within the neural networks of increasingly large pre-trained models.
This research will delve into developing more effective and efficient methods for knowledge editing in large language models. The project will explore novel approaches to identify, update, and manage the information within these models, aiming to minimize the adverse side effects on the model's overall knowledge base. It will also investigate the theoretical underpinnings of knowledge representation in neural networks, particularly in the context of large-scale pre-trained models.","1. To conduct a comprehensive literature review on machine unlearning, knowledge editing works.
2. To implement algorithms and develop own ideas based on existing works.
3. To complete at least one research paper in this research project. ","1). Implementing algorithms for integrating and analyzing the pros and cons in existing works.
2). Evaluating  different adversarial attacks and building own ideas.
3). Critical research attitude.","•	Strong background in computer science and Natural lanuage processing
•	Proficient in programming, particularly in Python and PyTorch
",IHPC,YAN Ming,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Computing and Information Sciences,Computer Science",1
168,Large Language Model for Healthcare,"The project focus on training large language model for healthcare applications, such as genome understanding and protein design. The student will have opportunities to work on the whole pipeline of large language model training, including data preparation, model trianing and evaluation.",Learns state-of-the-art large language model technology and applications. Hands on experience of developing healthcare applications based on LLM,"Review latest literatures on LLM for healthcare applications
Build application prototypes
Conduct experiments and evaluation","Python programming, knowledge and experience in neural network",IHPC,Zhou Jun,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Computing and Information Sciences,Computer Science,Biomedical Engineering,Natural Sciences",2
169,Large language models for taxonomy classification,"Early diagnosis of infections is critical for the successful treatment of hospitalized patients, but the precise detection of causative pathogens remains an open challenge. Compared to current laboratory diagnostic methods, taxonomic classification tools that match sequencing reads with a reference database allow for the rapid identification of pathogens. In this project, we aim to develop deep-learning taxonomic classifiers (e.g., transformers) using long-read sequencing data. We plan to extend previous methods in directions such as representation learning and the detection of novel species.","After the end of this internship students will be able:

1) to develop deep learning pipelines to analyze rich and complex metagenomics datasets.

2) to get a deeper understanding of machine learning research in computational genomics.

3) to perform exploratory and statistical data analysis on metagenomics/microbial datasets.","• Process and perform integrative analysis on metagenomics datasets
• Implement, train, tune, and debug deep learning classifiers for taxonomy classification.
• Create pipelines for analyzing large biological datasets.
• Perform exploratory and statistical analyses to elucidate biological significance from experimental observations","Requirements:
• Self-motivated individual and willingness to self-learn
• Good analytical, statistical and programming skills (Python or like) and ability to work in UNIX environment
• Team player and good interpersonal skills

Preferable skills (not required):
• Knowledge of machine learning frameworks such as PyTorch or Tensorflow.
• Basic knowledge of machine learning methods",GIS,Niranjan Nagarajan,"Genome Institute of Singapore, 60 Biopolis Street, Genome, #02-01, Singapore 138672","Biomedical Sciences,Microbiology,Bioinformatics",1
170,Learning robust graph neural networks,"Graph neural networks have achieved tremendous breakthroughs in various learning problems arising from diverse real-world applications. What makes graph neural networks effective is they generate representations to the downstream predictive tasks in a globally relational manner. In other words, representations are inferred via particular operations between themselves and their observed neighbors. However, prevalent functions for generating representations adopted by graph neural networks solely consider the effect brought by the information propagated within the neural architecture but overlook the knowledge hidden in the task-specific context. This may cause overfitting when training graph neural networks and consequently may reduce the generalization capability of the graph neural architecture. To overcome the previously mentioned problems, this project aims to develop novel and robust graph neural networks in two complementary directions. One is to design novel generating functions concerning the instant knowledge acquired from the task-specific context so as to locally consummate neural message passing. The other is to propose novel learning objectives that may seemly incorporate the learning modules for capturing the context-specific knowledge, achieving the improvement on the global neural architecture. The paradigms of learning graph neural networks and solving real-world applications are thereby expected to be fundamentally innovated.","Developing novel, generic graph learning models for various downstream tasks; paper/report writing.","Data preprocessing, design and development of computational models, and paper writing.","Familiar with Python, Pytorch, basic knowledge about graph theory, linear algebra, and statistics",IHPC,He Tiantian,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Computing and Information Sciences,Computer Science",1
171,Learning with bio-theory-inspired graph neural networks,"Biological graphs widely exist in scientific scenarios, such as biomolecular analysis, drug discovery, and medical imaging. These graph-structured data encompass rich information describing vital biological processes in diverse species. Analyzing biological graphs with modern AI technologies can significantly speed up the evolution of biological research and industry. Graph neural networks (GNNs) have been demonstrated as powerful tools for learning representations in biological graphs for various downstream applications. However, conventional GNNs are developed based on pure graph theory, lacking essential incorporations of critical scientific knowledge from the bio-applications themselves. In this project, we aim to develop novel GNNs to learn expressive representations in graphs from biological science. Novel paradigms and building blocks that are biology aware are designed in this project to guide GNNs to learn representations embedded with biological theories, thus enhancing their predictive performance and scientific significance in downstream applications.",Developing advanced approaches to solving graph learning problems in the areas of computational biology and bioinformatics; paper/report writing.,"Data preprocessing, design and development of computational models, and paper writing.","Familiar with Python, Pytorch, basic knowledge about graph theory, linear algebra, and statistics",IHPC,He Tiantian,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Computing and Information Sciences,Computer Science",1
172,Learning-based control for robotics and mechatronics,"Control algorithms in robots and mechatronic systems play a crucial role in the overall performance in various application domains. This includes high-accuracy tracking control in precision motion systems, adaptive drone control for agile flights, predictive control for comfortable and energy-efficient ride in electric vehicles, reinforcement learning for robot planning and control etc.  Typically, model-based control relies on the development of mathematical models that represent the dynamic behavior of the robot or mechatronic system. These models are derived from the underlying physics and mechanics of the system. Learning-based control, in contrast, leverages empirical data and advanced algorithms, particularly machine learning techniques, to develop control strategies. It is especially useful in situations where obtaining an accurate mathematical model is challenging or impractical. However, the black-box nature, complex structure, and the requirement for a large amount of training data pose various challenges.   In this research project, we seek approaches that integrate elements from both paradigms (model-based and data-driven) to capitalize on their respective strengths.","Being able to design learning-based control.
","Literature review, algorithm development, simulation and experimental testing",,SIMTech,Xiaocong Li,"Singapore Institue of Manufacturing Technology, 2 Fusionopolis Way
#08-04, Innovis
Singapore 138634","Engineering and Technology,Electrical and Electronic Engineering ",3
173,Leveraging Large Language Models for Explanations in Reinforcement Learning,"The project involves developing and evaluating a system that uses Large Language Models (LLMs) to provide natural language explanations for the decisions made by Reinforcement Learning (RL) agents, enhancing the interpretability and transparency of RL models.",Students will gain comprehensive experience in LLMs and reinforcement learning. They will also develop skills in scientific writing.,"Literature review, propose methodologies, implementation, report writing. ","Coding, machine learning concepts, deep learning",IHPC,Tanvi Verma,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Computing and Information Sciences,Computer Science",1
174,Life Cycle and Cost Assessment for Net Zero Emissions,We assess the life cycle environment impact and costs of carbon capture and sequestration technologies for Singapore decarbonization target. ,"Life cycle assessment, techno-economic assessment, and potentially language programming.","Data collection, analysis, and exploring language programming application to automate the process.","Studying chemical or environmental engineering in undergraduate or master program. Interest and experience in programming, and data analytic is preferred. Experience in research is preferred. ",SIMTech,Ginny Lee Yin Jin,"Singapore Institue of Manufacturing Technology, 2 Fusionopolis Way
#08-04, Innovis
Singapore 138634","Engineering and Technology,Chemical and Molecular Engineering",1
175,Lifelong learning with neuroscience-inspired approaches,"Humans can continuously learn new concepts with positive knowledge transfer and minimal forgetting about previously learned knowledge. In contrast, AI still suffers from catastrophic forgetting when it is learning a sequence of tasks incrementally. In the project, students will have experience coding computational models capable of lifelong learning. Students also may choose to code web-based applications that can be used to benchmark human continual learning abilities.",publications and research experiences,"leading the project in coding, human behavioral experiment designs and data collection","python, know what is transformer in deep learning",I2R,Mengmi Zhang,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer Science",2
176,Lightweight and sustainable carbon fiber reinforced polymer composites manufacturing technologies.,"Advancement in composite technology is persistently implemented
for industrial utilization e.g., lightweight structural part for aerospace applications. Fiber reinforced polymer composites, characteristically supports lightweight effectiveness. Continuous fiber reinforced thermoplastics (CFRTP) are strategically preferred due to their high specific strength, dimensional stability, elevated thermomechanical performance, recyclability to some extent and molding capabilities to conform intricate structure. New technologies are deployed to upscale processing technologies and innovative deployment methods for lightweight structural applications e.g., complex aerostructure parts, advanced components
for electric vehicle. ","1. Training on composites manufacturing technology 
2. Optimization of the impregnation methods for carbon fiber polymer prepreg and composites production.
3. Composites development using compression molding technique.
4. Physical and mechanical characterization of the composites.
5. Framework of the innovative upscaled composites manufacturing process and industrial deployments.","Lab training & support the project team for manufacturing
and characterization",,IMRE,Mohit Sharma,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Engineering and Technology,Materials Engineering,Physics",2
177,LLM-based knowledge retrieval and question answering system,"In today's information-rich world, access to accurate and relevant information is vital. However, traditional search engines and document retrieval systems often struggle to provide accurate and concise answers from extensive and (un-)organized knowledge base. This project aims to address this challenge by leveraging on the trending LLM technique to develop the knowledge retrieval and Question Answering (QA) system for real world applications.","Gain hands-on experience in developing advanced Natural Language Processing (NLP), Large Language Models (LLMs), Retrieval-Augmented Generation (RAG) techniques.
Contribute to a project with real-world applications in information retrieval and document analysis.
Collaborate with a dedicated team of experts who are passionate about NLP and AI.
Learn about the complexities of handling (un-)structured data and developing efficient QA systems.","Data Collection and Preprocessing, Model Development, Evaluation and Validation, System Development","Python programming, software design and development, fundamental knowledge of Machine Learning (ML) and Natural Language Processing (NLP)",IHPC,Gao Fei,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Computing and Information Sciences,Life Sciences,Computer Science",2
178,Logistics supply chain modeling and optimization using AI,"The global pandemic COVID-19 has disrupted many supply chains across numerous industries the world over. If not well contained and managed at an early stage, such unprecedented disruptions may lead to even more serious consequences in an era of supply chain re-globalization. In addition, increasing scale and complexity of supply chain leads to a large pool of shared information and complex information sharing processes. Proposed PhD research focuses on methods and techniques that effectively and efficiently capture and share manufacturing insights across the supply chain, in particular handling big amount of unstructured data from multiple sources. We have developed technologies for modelling disruption risk, capturing and managing such information in enterprises and supply chains. Moving forward, we are looking into the following research topics: 1)    Supply chain resilience modelling and disruption risk mitigation techniques 2)    Last mile logistics optimization 3)    Spatio-temporal pattern discovery to develop novel analytical methods and techniques capable to handle a huge data generated in logistics. 4)    Cyber-Physical Systems (CPS) modelling for logistics and supply chain using AI and agent-based simulation","1) understanding supply chain disruption concepts, impact and mitigation strategy - learners will be understand fundamental concepts of disruption risk, risilience, etc.
2) Data Analysis and interpretation- learners will acquire the skills to collect, analyse, and interprete data to quantify disruption risks
3) Learners will be able to develop and implement risk/resilience models","1) literature review
2) data analytics
3) develop models and implement the models in Python.",,SIMTech,NengSheng Zhang,"Singapore Institue of Manufacturing Technology, 3 CleanTech Loop, #01/01, CleanTech Two Block A, Singapore 637143","Computing and Information Sciences,Computer and Software Engineering",2
179,Machine learning accelerated calculation of absorption tail in optoelectronic materials,"There is a need to understand and minimize the amount of disorder in a semiconductor to increase its photovoltaic performance. The amount of disorder can be empirically characterized by the tail in its absorption spectra, or the Urbach tail. In this project, we aim to use machine learning to accelerate the calculation of the Urbach tail. We aim to train a machine learning model to accurately predict the absorption spectra of a given crystal structure, from data obtained from first-principles density functional theory calculations.",The student will learn about applying machine learning techniques to solve problems in materials science. Student will get to experience research effort to improve the photovoltaic efficiency in solar cells.,"The student is expected to explore the various machine learning models available in common libraries such as scikit-learn, so as to find the appropriate models to best reproduce the absorption spectra. ",Familarity with Python programming language and machine learning models,IHPC,Liu Yun,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Engineering and Technology,,Materials Engineering,Physics",1
180,Machine Learning analysis of Traditional Chinese Medicine (TCM) ingredients and their interactions against disease targets,Machine Learning analysis of Traditional Chinese Medicine (TCM) ingredients and their interactions against disease targets,"Traditional Chinese Medicine (TCM) ingredients, Machine learning, protein-ligand interaction modeling","Verify TCM ingredients, explore machine leearning models for data analysis, perform 3D modeling of TCM ingredients against disease targets","good at linux, shell scripting, python/perl programming, have experience in machine learning, can work as full-time intern",BII,Hao FAN,Bioinformatics Institute 30 Biopolis Street #07-01 Matrix Singapore 138671,"Biomedical Sciences,Biomedical Sciences,Bioinformatics,Chemical and Molecular Engineering,Chemistry",2
181,Machine learning and AI for materials informatics,"Materials informatics is an emerging field leveraging data science and AI methods to accelerate the development of new materials, such as lightweight alloys for aerospace applications and nanoparticle catalysts.
The student will help to develop machine learning (ML) models to predict the properties of materials. Material properties (e.g., mechanical properties, catalytic activities) are determined by the arrangements of atoms, so the goal is to construct ML models that map atomic arrangements to properties.",The student will obtain first-hand research experience in the emerging field of materials informatics. The student will develop expertise in constructing machine learning models to predict the properties of materials.,"The student will work closely with computational materials scientists in A*STAR to develop machine learning models to predict the properties of materials. At the end of the internship, the student will provide documented codes and a report detailing his/her research findings so that the project can be incorporated into A*STAR’s in-house platform for accelerated materials development.","Familiarity with Python or a similar programming language, so as to implement standard ML algorithms, such as those in scikit-learn. Familiarity with basic concepts in machine learning is preferred. Background in physical sciences or engineering is preferred, so that the student can better appreciate the datasets and ML models.",IHPC,Leong Zhidong,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Engineering and Technology,,Materials Engineering,Physics",1
182,Machine Learning for Multimorbidity Risk Factor Analysis," Multimorbidity, defined as the simultaneous presence of two or more chronic clinical conditions, is a significant global health issue with a prevalence of 37.2% in aged popluation. This high prevalence is associated with increased mortality, healthcare utilization, and negatively impacting overall functioning and quality of life. Key contributing factors include age, sex, diet, lifestyle, socioeconomic conditions, physical activity status, and genetics. In this project, students will study machine learning methods and analyse and rank the importance of various risk factors contributing to multimorbidity in cohort studies. The objective is to identify the most critical modifiable factors, facilitating early interventions to promote healthier aging and reduce medical burdens.","machine learning by Python, risk factor analysis in disease prediction. ","In this project, students will study machine learning methods and analyse and rank the importance of various risk factors contributing to multimorbidity in cohort studies. The objective is to identify the most critical modifiable factors, facilitating early interventions to promote healthier aging and reduce medical burdens.",programming skill in python,IHDP,Pan Hong,"Singapore Institute for Clinical Sciences, Brenner Centre for Molecular Medicine, 30 Medical Drive, Singapore 117609","Biomedical Sciences,Bioscience and Biotechnology,Bioinformatics,Biomedical Engineering,Mathematics",1
183,Manipulating a diamagnetically levitating object with light,"Explore the cutting-edge world of diamagnetic levitation, where objects repel magnetic fields to achieve contactless levitation without any power consumtion. This project focuses on using light for precise control
of these levitated objects through opto-mechanical interaction.
Ideal for physics or engineering students, the project offers hands-on experience, skill development, and collaboration with experts.
Apply now to contribute to groundbreaking scientific research.","Develop hands-on experimental physics skills in a world-class group
for quantum physics. Improve real-time control and data analysis abilities based on MATLAB and FPGA. Prepare for future academic or industry careers.","Students will conduct literature reviews, assist in designing and setting up experimental apparatus, and perform experiments to collect high-quality data. Responsibilities include understanind the physics of the experimental system, developing control algorism based on FPGA, analyzing data using MATLAB or Python, maintaining detailed documentation, and collaborating with the research team. Students will also troubleshoot issues, propose innovative solutions, and regularly update supervisors on progress.","Has backgrounds in physcis
or engineering; highly motivated;
GPA above 80%",IMRE,Chen Xianfeng/Lam Ping Koy,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Engineering and Technology,Mechanical Engineering,Physics",1
184,Manipulation of hybrid phonon plasmonic polaritons for tunable photonics ,"Phonon polariton (PhP) may carry remarkably large wave vectors compared to the momentum of light travelling in free space. This unique property could enable new platforms with strong light-matter interaction at the nanoscale. The more complex systems will contain a variety of many-body interactions among quasi-particles (electrons, phonons, plasmons, polarons, Cooper-pairs) which reveal more promising physics. To investigate the inter-layer interactions between PhPs with other quasi-particles, we will assemble the 2D heterostructure consisting of materials exhibiting phonon resonance and plasmon in the same spectral range. With deeper understanding this coupling mechanism, we would like to discover new degree of freedom to control and utilize PhPs for fundamental science and emerging applications.","Students will gain an in-depth understanding of the intricate many-body interactions among quasi-particles, enhancing their theoretical grasp of complex nanoscale phenomena. Additionally, they will acquire expertise in advanced near-field scanning microscopy technique  for precise characterization of phonon polaritons (PhPs).",The students will contribute to the preparation of samples and engage in near-field scanning characterizatio processes. ,Applied physics ,IMRE,Wang Qian,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Physical Sciences,,Physics",1
185,Medical Knowledge enhanced Large Language Models,"Large language models, like ChatGPT, have shown remarkable capabilities in understanding and generating human language. These models can usually behave well on daily dialog, or question answering scenarios. However, in areas that demand precision, for example, in medical applications, they often exhibit unsatisfactory performance due to a lack of domain-speciﬁc knowledge. This project aims to leverage these advanced models to encode medical knowledge from different sources such as medical knowledge base, medical articles, etc.","Gain hands-on experience in working with state-of-the-art large langage models.
Deepen your knowledge of machine learning, natural language processing, and the healthcare industry.
Work closely with a supportive team of experts who are passionate about AI and healthcare.","Data Collection and Preprocessing, Model Fine-Tuning and Testing",Python programming and fundamental knowledge of Machine Learning (ML) and Natural Language Processing (NLP),IHPC,Song Yuting,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Computing and Information Sciences,Computer Science",2
186,Memristive nanophotonics: ultrafast control of light with memory,"Fabrication of Nanoantenna using state-of-art nanofabrication tools
and their electrical and optical characterisation","fabrication, charactersation, prototyping","design the experiment, literature surveys, learning the tools","Good understanding
of semiconductor physics",IMRE,Saurabh Srivastava,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Engineering and Technology,Materials Engineering,Physics",1
187,Metasurface-Based Technology for Multi-Channel Imaging System in High-Fidelity Facial Recognition,"This research proposal aims to develop a novel metasurface-based multi-channel imaging system to enhance the accuracy and efficiency of high-fidelity facial recognition. By leveraging the unique properties of metasurfaces, this system will capture and process multiple spectral channels simultaneously, providing rich and detailed facial data that surpasses traditional imaging methods. The successful development of this metasurface-based multi-channel imaging system will revolutionize facial recognition technology, providing unparalleled accuracy and reliability. This advancement will have significant implications for security, surveillance, and authentication systems, contributing to safer and more secure environments.","By participating in this project, students will be well-equipped with the technical knowledge, practical skills, and research experience needed to excel in the fields of optical technologies, nanotechnology, and advanced imaging systems.","Students involved in the metasurface-based imaging system project will primarily focus on setting up and calibrating the imaging system, conducting experiments to capture multi-spectral images, and ensuring accurate data collection. They will implement and optimize image processing algorithms, analyze data to improve facial recognition accuracy, and develop software tools for efficient data processing. Additionally, students will maintain detailed documentation, prepare reports and presentations, and collaborate closely with team members, gaining hands-on experience in experimental research, data analysis, and interdisciplinary teamwork, thus preparing them for future careers in scientific and technological fields.","Student should have basic knowledge on programing language (python, etc) and image processing tool. Student in the field of STEM is highly wanted",IMRE,Son Tung Ha ( Tony ),"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Physical Sciences,Physics",1
